"Parcel.Number","old_height","new_height_rezoning","new_height_housing_choice","height_increase_rezoning","height_increase_housing_choice"
"0066006",40,40,50,FALSE,TRUE
"0066007",40,40,50,FALSE,TRUE
"0066008",40,40,50,FALSE,TRUE
"0066009",40,40,50,FALSE,TRUE
"0066011",40,40,50,FALSE,TRUE
"0066012",40,40,40,FALSE,FALSE
"0066013",40,40,50,FALSE,TRUE
"0066014",40,40,50,FALSE,TRUE
"0066016",40,40,50,FALSE,TRUE
"0066017",40,40,50,FALSE,TRUE
"0066018",40,40,50,FALSE,TRUE
"0066019",40,40,50,FALSE,TRUE
"0066020",40,40,50,FALSE,TRUE
"0066021",40,40,50,FALSE,TRUE
"0066022",40,40,50,FALSE,TRUE
"0066024",40,40,50,FALSE,TRUE
"0066026",40,40,50,FALSE,TRUE
"0066028",40,40,50,FALSE,TRUE
"0066029",40,40,50,FALSE,TRUE
"0066030",40,40,50,FALSE,TRUE
"0066035",40,40,50,FALSE,TRUE
"0066041",40,40,50,FALSE,TRUE
"0066043",40,40,50,FALSE,TRUE
"0066047",40,40,50,FALSE,TRUE
"0067001",40,40,50,FALSE,TRUE
"0067002",40,40,50,FALSE,TRUE
"0067003",40,40,40,FALSE,FALSE
"0067005",40,40,40,FALSE,FALSE
"0067006",40,40,40,FALSE,FALSE
"0067007",40,40,40,FALSE,FALSE
"0067008",40,40,40,FALSE,FALSE
"0067009",40,40,40,FALSE,FALSE
"0067011",40,40,40,FALSE,FALSE
"0067012",40,40,40,FALSE,FALSE
"0067013",40,40,40,FALSE,FALSE
"0067014",40,40,40,FALSE,FALSE
"0067015",40,40,40,FALSE,FALSE
"0067016",40,40,40,FALSE,FALSE
"0067019",40,40,40,FALSE,FALSE
"0067022",40,40,40,FALSE,FALSE
"0067041",40,40,40,FALSE,FALSE
"0068001",40,40,50,FALSE,TRUE
"0068003",40,40,50,FALSE,TRUE
"0068004",40,40,50,FALSE,TRUE
"0068005",40,40,50,FALSE,TRUE
"0068006",40,40,50,FALSE,TRUE
"0068007",40,40,50,FALSE,TRUE
"0068008",40,40,50,FALSE,TRUE
"0068010",40,40,50,FALSE,TRUE
"0068011",40,40,50,FALSE,TRUE
"0068013",40,40,50,FALSE,TRUE
"0068014",40,40,50,FALSE,TRUE
"0068016",40,40,50,FALSE,TRUE
"0068018",40,40,50,FALSE,TRUE
"0068019",40,40,50,FALSE,TRUE
"0068020",40,40,50,FALSE,TRUE
"0068025",40,40,50,FALSE,TRUE
"0068034",40,40,50,FALSE,TRUE
"0068040",40,40,50,FALSE,TRUE
"0068044",40,40,50,FALSE,TRUE
"0068046",40,40,50,FALSE,TRUE
"0068047",40,40,50,FALSE,TRUE
"0069005",40,40,50,FALSE,TRUE
"0069009",40,40,50,FALSE,TRUE
"0069010",40,40,50,FALSE,TRUE
"0069011",40,40,50,FALSE,TRUE
"0069012",40,40,50,FALSE,TRUE
"0069013",40,40,50,FALSE,TRUE
"0069014",40,40,50,FALSE,TRUE
